id,nome
1,Buritis
2,"Padre Eustáquio"
3,Lindéia
4,"Santa Mônica"
5,"Céu Azul"
6,"Santa Cruz (ZN)"
7,"Santa Cruz (ZL)"
8,"Santo Antônio"
9,"Alto Vera Cruz"
10,"Jardim dos Comerciários"
11,Piratininga
12,Mantiqueira
13,Serra
14,Sion
15,Lourdes
16,"Santa Amélia"
17,"Cabana do Pai Tomás"
18,"Santa Efigênia (ZL)"
19,"Santa Efigênia (HC)"
20,Pindorama
21,"Boa Vista"
22,Gutierrez
23,"Ouro Preto"
24,Castelo
25,Planalto
26,"São João Batista"
27,Centro
28,Goiânia
29,Jaqueline
30,"Ribeiro de Abreu"
31,"Santa Terezinha"
32,"Santa Tereza"
33,"Jardim Felicidade"
34,"Cidade Nova"
35,"Carlos Prates (ZO)"
36,"Carlos Prates (HC)"
37,Havaí
38,"Nova Suissa"
39,"Conjunto Taquaril"
40,União
41,"Salgado Filho"
42,Araguaia
43,Glória
44,"Serra Verde"
45,"São Geraldo"
46,Prado
47,"São Gabriel"
48,"Tupi B"
49,Paraíso
50,Copacabana
51,Caiçaras
52,Camargos
53,"Rio Branco"
54,Anchieta
55,Ipiranga
56,Milionários
57,Betânia
58,Diamante
59,"Floresta (HC)"
60,"Floresta (ZL)"
61,Savassi
62,"Jardim Guanabara"
63,"Vila Vista Alegre"
64,Tirol
65,"Jardim América (ZO)"
66,"Jardim América (ZS)"
67,Caiçara-Adelaide
68,Concórdia
69,"Tupi A"
70,Minascaixa
71,Cardoso
72,"Colégio Batista (ZL)"
73,"Colégio Batista (HC)"
74,Barreiro
75,Europa
76,Serrano
77,"Jardim Alvorada (ZO)"
78,"Jardim Alvorada (ZN)"
79,"Santo Agostinho"
80,Aparecida
81,Floramar
82,"Dom Bosco"
83,"João Pinheiro"
84,"Nossa Senhora de Fátima"
85,"Jardim Vitória"
86,"Alípio de Melo"
87,"Nova Gameleira"
88,Itapoã
89,"Jardim Leblon"
90,Cachoeirinha
91,"Bairro das Indústrias I"
92,"Santa Inês"
93,Lagoa
94,"São Bernardo"
95,Renascença
96,"Dona Clara"
97,Funcionários
98,Belvedere
99,"Maria Goretti"
100,"Nova Vista"
101,Independência
102,"Novo Aarão Reis"
103,Manacás
104,"Vila Pinho"
105,Esplanada
106,Nazaré
107,Cruzeiro
108,"Vale do Jatobá"
109,"Vila Barragem Santa Lúcia"
110,Providência
111,"Flávio Marques Lisboa"
112,"Novo Glória"
113,Guarani
114,Letícia
115,"Maria Helena"
116,Coqueiros
117,"Coração Eucarístico"
118,"Palmeiras (ZS)"
119,"Palmeiras (ZO)"
120,Itaipu
121,Candelária
122,Calafate
123,"São Tomáz"
124,"Alto Caiçaras"
125,"Santo André"
126,"Santa Lúcia"
127,"Vila Clóris"
128,"Santa Maria"
129,Ventosa
130,"Brasil Industrial"
131,"Jardim São José"
132,"São Marcos"
133,"Santa Rosa"
134,Heliópolis
135,Apolônia
136,Marçola
137,Minaslândia
138,"Bonsucesso (ZS)"
139,"Bonsucesso (ZO)"
140,Paquetá
141,Luxemburgo
142,"Casa Branca"
143,"São Pedro"
144,Grajaú
145,"Nossa Senhora da Conceição"
146,"Paulo VI"
147,"Barro Preto"
148,"Teixeira Dias"
149,Miramar
150,"Santa Rita de Cássia"
151,Califórnia
152,"Nova Granada (ZS)"
153,"Nova Granada (ZO)"
154,"Lagoinha Leblon"
155,"Horto Florestal"
156,"Jardim Montanhês"
157,Juliana
158,"São Salvador"
159,"Coração de Jesus"
160,Silveira
161,Olaria
162,Pompéia
163,"Vila Cemig"
164,"Nova Cintra"
165,Castanheira
166,"Palmares (ZL)"
167,"Palmares (ZN)"
168,Cinquentenário
169,Bandeirantes
170,"Santa Helena"
171,"Santa Branca"
172,"Vila Maria"
173,"Alto Barroca"
174,"Vista Alegre"
175,"Vista do Sol"
176,"Aparecida Sétima Seção"
177,Saudade
178,Lajedo
179,Graça
180,"São Luíz"
181,"Estrela do Oriente"
182,"Nova Cachoeirinha"
183,Ipê
184,Urca
185,"Bairro Novo das Indústrias"
186,"Boa Viagem"
187,Estoril
188,"Nova Floresta"
189,"Monsenhor Messias"
190,Liberdade
191,"Madre Gertrudes"
192,"Pedreira Prado Lopes"
193,"Bonfim (ZN)"
194,"Bonfim (HC)"
195,"Nova Esperança"
196,"Conjunto Minascaixa"
197,"São Francisco"
198,"Solar do Barreiro"
199,"Nossa Senhora da Aparecida"
200,Trevo
201,Confisco
202,"Dom Cabral"
203,Mineirão
204,"Dom Silvério"
205,"Fernão Dias"
206,"Ouro Minas"
207,Beira-Linha
208,"Santana do Cafezal"
209,Jaraguá
210,"Vila Primeiro de Maio"
211,Eymard
212,"Novo São Lucas"
213,"Lagoinha (ZN)"
214,"Lagoinha (HC)"
215,"Vera Cruz"
216,"Maria Virgínia (ZL)"
217,"Maria Virgínia (ZN)"
218,Carmo
219,Oeste
220,"São Paulo"
221,"Conjunto Jatobá"
222,Fazendinha
223,"São Bento"
224,"Vila Novo São Lucas"
225,Leonina
